--time 1
--epoch 500
total images: 8189
epoch: 87, gen loss: 2.559314727783203, disc loss: 1.203639030456543, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 88, gen loss: 2.2259345054626465, disc loss: 1.2151191234588623, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 88, gen loss: 2.6683454513549805, disc loss: 1.1862132549285889, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 89, gen loss: 2.774200677871704, disc loss: 1.1954922676086426, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 89, gen loss: 2.656480312347412, disc loss: 1.200785517692566, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 90, gen loss: 1.4533720016479492, disc loss: 1.2967275381088257, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 90, gen loss: 2.8051655292510986, disc loss: 1.1707457304000854, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 91, gen loss: 3.0266847610473633, disc loss: 1.1510083675384521, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 91, gen loss: 2.850794792175293, disc loss: 1.1712292432785034, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 92, gen loss: 2.752210855484009, disc loss: 1.0273126363754272, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 92, gen loss: 2.6851558685302734, disc loss: 1.2148385047912598, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 93, gen loss: 1.7571909427642822, disc loss: 1.253484845161438, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 93, gen loss: 2.6921169757843018, disc loss: 1.1734671592712402, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 94, gen loss: 2.1444358825683594, disc loss: 1.1747790575027466, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 94, gen loss: 2.6505112648010254, disc loss: 1.1813008785247803, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 95, gen loss: 4.482970714569092, disc loss: 1.1846070289611816, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 95, gen loss: 2.869938373565674, disc loss: 1.1375466585159302, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 96, gen loss: 3.0015993118286133, disc loss: 1.0709668397903442, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 96, gen loss: 2.7075138092041016, disc loss: 1.199369192123413, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 97, gen loss: 2.111847400665283, disc loss: 1.5616085529327393, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 97, gen loss: 2.5877387523651123, disc loss: 1.2098201513290405, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 98, gen loss: 2.7770886421203613, disc loss: 1.0382177829742432, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 98, gen loss: 2.685002326965332, disc loss: 1.1283756494522095, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 99, gen loss: 3.427368640899658, disc loss: 0.9478163123130798, grad penalty: 0, real loss: 0, fake loss: 0
epoch: 99, gen loss: 2.6586055755615234, disc loss: 1.1632455587387085, grad penalty: 0, real loss: 0, fake loss: 0
